
2024-12-17 09:51:13.261281	currently no communication to radio: None
2024-12-17 09:51:14.262196	Speed_Up and groundspeed set/vehicle armed.
2024-12-17 09:51:15.266633	LocationGlobal:lat=47.5981864,lon=8.6754369,alt=354.71
2024-12-17 09:51:15.268913	LocationGlobal:lat=47.5981864,lon=8.6754369,alt=354.71
2024-12-17 09:51:15.270382	LocationGlobal:lat=47.5981864,lon=8.6754369,alt=354.71
2024-12-17 09:51:15.270761	47.5981864
2024-12-17 09:51:15.271043	8.6754369
2024-12-17 09:51:15.271524	355.71
2024-12-17 09:51:15.271853	geofence enabled
2024-12-17 09:51:15.272632	Vehicle is armable.
2024-12-17 09:51:15.272944	No 3D fix: 3
2024-12-17 09:51:15.273232	control stays autonomous
2024-12-17 09:51:15.273951	in GUIDED mode: GUIDED
2024-12-17 09:51:15.274233	Speed_Up and groundspeed set/vehicle armed.
2024-12-17 09:51:15.275119	starting vehicle.simple_takeoff
2024-12-17 09:51:15.276383	control stays autonomous
2024-12-17 09:51:15.277321	in takeoffloop
2024-12-17 09:51:16.277933	control stays autonomous
2024-12-17 09:51:16.278438	in takeoffloop
2024-12-17 09:51:17.279051	control stays autonomous
2024-12-17 09:51:17.279516	in takeoffloop
2024-12-17 09:51:18.280020	control stays autonomous
2024-12-17 09:51:18.280321	in takeoffloop
2024-12-17 09:51:19.280823	control stays autonomous
2024-12-17 09:51:19.281165	in takeoffloop
2024-12-17 09:51:20.281752	control stays autonomous
2024-12-17 09:51:20.282140	in takeoffloop
2024-12-17 09:51:21.282735	control stays autonomous
2024-12-17 09:51:21.283121	in takeoffloop
2024-12-17 09:51:22.283825	control stays autonomous
2024-12-17 09:51:22.284251	in takeoffloop
2024-12-17 09:51:23.284923	control stays autonomous
2024-12-17 09:51:23.285270	in takeoffloop
2024-12-17 09:51:24.285801	control stays autonomous
2024-12-17 09:51:24.286142	in takeoffloop
2024-12-17 09:51:25.286662	control stays autonomous
2024-12-17 09:51:25.287003	in takeoffloop
2024-12-17 09:51:25.287344	Timoout, took to long to reach target altitude: 354.64
2024-12-17 09:51:25.287607	simple_takeoff did not work: mode GUIDED
2024-12-17 09:51:25.287839	Speed_Up and groundspeed set/vehicle armed.
2024-12-17 09:51:25.289356	control stays autonomous
2024-12-17 09:51:25.289613	in gotoloop
2024-12-17 09:51:26.290152	control stays autonomous
2024-12-17 09:51:26.290494	in gotoloop
2024-12-17 09:51:27.291447	control stays autonomous
2024-12-17 09:51:27.291849	in gotoloop
2024-12-17 09:51:28.292430	control stays autonomous
2024-12-17 09:51:28.292851	in gotoloop
2024-12-17 09:51:29.293507	control stays autonomous
2024-12-17 09:51:29.293907	in gotoloop
2024-12-17 09:51:30.294445	control stays autonomous
2024-12-17 09:51:30.294782	in gotoloop
2024-12-17 09:51:31.295362	control stays autonomous
2024-12-17 09:51:31.295709	in gotoloop
2024-12-17 09:51:32.296245	control stays autonomous
2024-12-17 09:51:32.296599	in gotoloop
2024-12-17 09:51:33.297124	control stays autonomous
2024-12-17 09:51:33.297461	in gotoloop
2024-12-17 09:51:34.297952	control stays autonomous
2024-12-17 09:51:34.298288	in gotoloop
2024-12-17 09:51:35.298916	control stays autonomous
2024-12-17 09:51:35.299379	in gotoloop
2024-12-17 09:51:35.299717	Timoout, took to long to reach target altitude: 354.62
2024-12-17 09:51:35.401089	geofence disabled
2024-12-17 09:51:35.401443	Speed_Up and groundspeed set/vehicle armed.
2024-12-17 09:51:35.402220	starting vehicle.simple_takeoff
2024-12-17 09:51:35.402677	control stays autonomous
2024-12-17 09:51:35.402953	in takeoffloop
2024-12-17 09:51:36.403540	control stays autonomous
2024-12-17 09:51:36.403879	in takeoffloop
2024-12-17 09:51:37.404399	control stays autonomous
2024-12-17 09:51:37.404736	in takeoffloop
2024-12-17 09:51:38.405312	control stays autonomous
2024-12-17 09:51:38.405698	in takeoffloop
2024-12-17 09:51:39.406282	control stays autonomous
2024-12-17 09:51:39.406669	in takeoffloop
2024-12-17 09:51:40.407306	control stays autonomous
2024-12-17 09:51:40.407733	in takeoffloop
2024-12-17 09:51:41.408342	control stays autonomous
2024-12-17 09:51:41.408744	in takeoffloop
2024-12-17 09:51:42.409321	control stays autonomous
2024-12-17 09:51:42.409703	in takeoffloop
2024-12-17 09:51:43.410328	control stays autonomous
2024-12-17 09:51:43.410712	in takeoffloop
